tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
root,µg,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,-0.2177,-0.2177,1.0,2.0,80.0,78.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.353@Light,False
root,µg,Gravitropism,Gravitropism,pathway_score,-0.0052,-0.0052,0.5,2.0,9.0,8.0,rewired,T1,pathway_scores_all.csv,-0.012@Dark,False
root,µg,DNA repair,Homologous recombination,pathway_score,-0.0724,-0.0724,0.5,2.0,60.0,57.0,rewired,T1,pathway_scores_all.csv,-0.224@Dark,False
root,µg,Hormone transport,Hormone_transporters_ABCG,pathway_score,0.1597,0.1597,0.5,2.0,5.0,5.0,rewired,T1,pathway_scores_all.csv,+0.354@Light,False
root,µg,Hormone transport,Hormone_transporters_NPF,pathway_score,-0.1375,-0.1375,0.5,2.0,6.0,4.0,rewired,T1,pathway_scores_all.csv,-0.277@Light,False
root,µg,Hormone transport,Hub_transporter_core,pathway_score,0.2234,0.2234,0.5,2.0,5.0,4.0,rewired,T1,pathway_scores_all.csv,+0.496@Dark,False
root,µg,DNA repair,Mismatch repair,pathway_score,-0.0805,-0.0805,0.5,2.0,32.0,32.0,rewired,T1,pathway_scores_all.csv,-0.198@Dark,False
root,µg,DNA repair,Non-homologous end-joining,pathway_score,-0.1899,-0.1899,1.0,2.0,8.0,8.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.365@Dark,False
root,µg,DNA repair,Nucleotide excision repair,pathway_score,-0.1102,-0.1102,1.0,2.0,85.0,81.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.171@Light,False
root,µg,Light perception,Photoreceptors,pathway_score,0.1136,0.1136,1.0,2.0,10.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.142@Light,False
root,µg,Photosynthesis,Photosynthesis,pathway_score,-0.0722,-0.0722,0.5,2.0,46.0,46.0,rewired,T1,pathway_scores_all.csv,-1.520@Light,True
root,µg,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,-0.6749,-0.6749,0.5,2.0,22.0,20.0,rewired,T1,pathway_scores_all.csv,-1.777@Light,True
root,µg,Hormone signaling,Plant hormone signal transduction,pathway_score,0.1131,0.1131,0.5,2.0,433.0,369.0,rewired,T1,pathway_scores_all.csv,+0.314@Dark,False
root,µg,ROS metabolism,ROS_core_NMF,pathway_score,0.1501,0.1501,0.5,2.0,10.0,9.0,rewired,T1,pathway_scores_all.csv,+0.651@Dark,True
root,µg,ROS metabolism,ROS_scavenging,pathway_score,0.1634,0.1634,0.5,2.0,24.0,22.0,rewired,T1,pathway_scores_all.csv,+0.343@Dark,False
root,µg,Hormone transport,Sugar_transporters_SWEET,pathway_score,2.5531,2.5531,1.0,2.0,11.0,7.0,activated,T1,pathway_scores_all.csv,+4.235@Dark,False
shoot,NMF,ABA metabolism,ABA_biosynthesis,pathway_score,,,0.0,7.0,8.0,1.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,ABA metabolism,ABA_signaling,pathway_score,,,0.0,7.0,16.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Auxin_transporters_ABCB,pathway_score,,,0.0,7.0,3.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,,,0.0,7.0,3.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Auxin_transporters_PIN,pathway_score,,,0.0,7.0,7.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Base excision repair,pathway_score,,,0.0,7.0,50.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,,,0.0,7.0,70.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Circadian,Circadian rhythm - plant,pathway_score,,,0.0,7.0,43.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Circadian,Circadian_core,pathway_score,,,0.0,7.0,14.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,GA metabolism,Diterpenoid biosynthesis (GA biosynthesis),pathway_score,0.5639,0.5896,1.0,7.0,25.0,6.0,activated,T1,pathway_scores_all.csv,+0.825@48h,False
shoot,NMF,DNA repair,Fanconi anemia pathway,pathway_score,,,0.0,7.0,46.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,GA metabolism,GA_biosynthesis,pathway_score,0.4593,0.434,1.0,7.0,17.0,5.0,activated,T1,pathway_scores_all.csv,+0.721@96h,False
shoot,NMF,GA metabolism,GA_core_NMF,pathway_score,0.3942,0.4732,0.857,7.0,3.0,3.0,activated,T1,pathway_scores_all.csv,+0.780@96h,False
shoot,NMF,GA metabolism,GA_signaling,pathway_score,,,0.0,7.0,10.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Secondary metabolism,Glucosinolate biosynthesis,pathway_score,,,0.0,7.0,26.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,,,0.0,7.0,80.0,1.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Gravitropism,Gravitropism,pathway_score,,,0.0,7.0,9.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Homologous recombination,pathway_score,,,0.0,7.0,60.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Hormone_transporters_ABCG,pathway_score,,,0.0,7.0,5.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
