condition,celltype_group,singscore,wilcox_fdr,mean_log2fc,n_sig,n_measured,atlas
678_leaf_FLT_Dark,Atrichoblast_root,-0.2637583638134906,7.438665778036454e-09,-1.254591383871539,42,42,Han2023
678_leaf_FLT_Dark,Columella_root,-0.029483475574067292,0.5585225624878292,-0.7066120408459571,48,48,Han2023
678_leaf_FLT_Dark,Cortex_hypocotyl_shoot,-0.12130575835754463,0.001091913219049283,-0.37521456271697434,67,67,Han2023
678_leaf_FLT_Dark,Cortex_root,-0.10470665565448084,0.005933881145596276,-0.6463317655464489,62,62,Han2023
678_leaf_FLT_Dark,CotyledonCell_root,0.3800494099391563,2.0152897012145828e-38,1.723375538829767,100,100,Han2023
678_leaf_FLT_Dark,DCM_root,-0.04791367653605124,0.16621406565422797,-0.1477228104098019,81,81,Han2023
678_leaf_FLT_Dark,DCS_root,-0.05369757850463473,0.5937115511900001,-0.1383235088808923,11,11,Han2023
678_leaf_FLT_Dark,E.cotyledon_epidermis_shoot,0.09417534403201439,0.001741923044409678,0.2709638898751512,100,100,Han2023
678_leaf_FLT_Dark,E.hypocotyl_epidermis_shoot,-0.2658596252863067,4.412552960793421e-19,-0.9127878878475189,100,99,Han2023
678_leaf_FLT_Dark,Endodermis_root,-0.2613695945118216,8.08076241017796e-19,-1.0034376260802855,100,100,Han2023
678_leaf_FLT_Dark,Endodermis_shoot,-0.2966594106616157,4.489101112027854e-16,-1.1433258891109235,66,65,Han2023
678_leaf_FLT_Dark,InitialCell_root,-0.029739299860578782,0.8244204712293081,-0.09991860545290947,7,7,Han2023
678_leaf_FLT_Dark,LRC_root,-0.17479401413879286,5.681543487593651e-09,-1.6961058522216101,100,98,Han2023
678_leaf_FLT_Dark,Mesophyll_shoot,0.17058026052513373,7.438665778036454e-09,0.40107720217947374,100,100,Han2023
678_leaf_FLT_Dark,Pericycle_root,-0.17511413287598512,4.232597479876898e-09,-0.739336486783601,100,100,Han2023
678_leaf_FLT_Dark,Phloem_root,0.004989253059815346,0.8631852368108796,-0.1284441833888785,100,99,Han2023
678_leaf_FLT_Dark,Procambium_root,-0.11603625874059814,0.0017227198554661217,-0.30238982582472795,67,67,Han2023
678_leaf_FLT_Dark,SAM_shoot,0.08434399117971333,0.030769876988813706,0.07137494361879493,60,60,Han2023
678_leaf_FLT_Dark,Trichoblast_root,-0.26304614779705426,1.2635043450411612e-18,-2.4399872176121744,100,97,Han2023
678_leaf_FLT_Dark,Unknown_root,,,,2,2,Han2023
678_leaf_FLT_Dark,Vasculature_shoot,-0.08869329498999962,0.003282056864671063,-0.32700572657020543,100,99,Han2023
678_leaf_FLT_Dark,Xylem_root,-0.1608632447221201,4.9277774944007434e-08,-0.5242149913504024,100,100,Han2023
678_leaf_FLT_Light,Atrichoblast_root,0.09482683187203586,0.04631009525379391,0.9360492359071019,42,42,Han2023
678_leaf_FLT_Light,Columella_root,0.02515415084323574,0.5728492848992979,0.42186493779569023,48,48,Han2023
678_leaf_FLT_Light,Cortex_hypocotyl_shoot,0.11293160560056512,0.0023453721774643077,1.0936317346427447,67,67,Han2023
678_leaf_FLT_Light,Cortex_root,0.17878072972855485,2.732936306257724e-06,1.7855253939976117,62,62,Han2023
678_leaf_FLT_Light,CotyledonCell_root,-0.3487378006451876,2.013256664417009e-32,-1.6849478259803439,100,100,Han2023
678_leaf_FLT_Light,DCM_root,-0.30084205102920986,5.902167381469748e-20,-1.0264916712686118,81,81,Han2023
678_leaf_FLT_Light,DCS_root,-0.19632562300699016,0.03605194478447484,-0.593438848291319,11,11,Han2023
678_leaf_FLT_Light,E.cotyledon_epidermis_shoot,-0.05352484789088981,0.07797255724390621,-0.22072409675600743,100,100,Han2023
678_leaf_FLT_Light,E.hypocotyl_epidermis_shoot,-0.0549712899339262,0.0755612291484824,0.19451787558931288,100,99,Han2023
678_leaf_FLT_Light,Endodermis_root,0.10122136469435254,0.00084164228956173,1.0507724487633618,100,100,Han2023
678_leaf_FLT_Light,Endodermis_shoot,0.18237387586891451,1.0121196395253893e-06,0.9433246958063092,66,65,Han2023
678_leaf_FLT_Light,InitialCell_root,-0.08836037171208065,0.4618718986419868,-0.17032917967285002,7,7,Han2023
678_leaf_FLT_Light,LRC_root,0.1315621924379209,1.4317018347813798e-05,1.0920328661355365,100,98,Han2023
678_leaf_FLT_Light,Mesophyll_shoot,-0.2380795459185757,9.700286562964065e-16,-1.057376368865795,100,100,Han2023
678_leaf_FLT_Light,Pericycle_root,0.1592147494793581,1.1347867526319097e-07,1.2571895494652516,100,100,Han2023
678_leaf_FLT_Light,Phloem_root,0.16515104080949974,4.88438221993364e-08,0.7950152205948083,100,99,Han2023
678_leaf_FLT_Light,Procambium_root,0.00973083864031552,0.7822828970691686,0.36872998816769686,67,67,Han2023
678_leaf_FLT_Light,SAM_shoot,0.1647528822464508,2.005286155244667e-05,0.6477032916472635,60,60,Han2023
678_leaf_FLT_Light,Trichoblast_root,0.06820693322017503,0.03181079885801069,0.7897551854001246,100,97,Han2023
678_leaf_FLT_Light,Unknown_root,,,,2,2,Han2023
678_leaf_FLT_Light,Vasculature_shoot,0.026624198619788476,0.4173417802204853,0.2117886911937777,100,99,Han2023
678_leaf_FLT_Light,Xylem_root,-0.21882110335252564,1.587225463380638e-13,-1.0866892875591754,100,100,Han2023
120_root_FLT_Light,Liew_QC,-0.059238601359136535,0.10189790825894945,-0.19691898469431107,86,86,Liew2024
120_root_FLT_Light,Liew_cortex,-0.03344160768452983,0.38316128008351935,-0.1816264597818427,100,96,Liew2024
120_root_FLT_Light,Liew_epidermis,0.012971624034593291,0.745300752705508,-0.2541264500217214,100,94,Liew2024
120_root_FLT_Light,Liew_mesophyll,-0.2203285115866367,3.3434812984367635e-13,-1.2079597072595776,100,98,Liew2024
120_root_FLT_Light,Liew_precursor_of_cortex_endodermis,0.013088169868554078,0.745300752705508,-0.2784103745909178,100,100,Liew2024
120_root_FLT_Light,Liew_provasculature,-0.13183797280287243,2.65403399513674e-05,-0.2705081581160981,100,98,Liew2024
