condition,study,contrast,tissue,light,pathway_id,pathway_name,source,n_panel_genes,n_measured,mean_log2fc,mean_abs_log2fc,singscore,frac_up,frac_dn,sign_consistency,n_measured_w_padj,n_padj_lt_05,frac_padj_lt_05
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath04075,Plant hormone signal transduction,KEGG,433,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|root|light,Maffei2022_NMF,NMF_vs_GMF_1h,root,light,ath04712,Circadian rhythm - plant,KEGG,43,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ABA_biosynthesis,ABA_biosynthesis,Curated,8,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ABA_signaling,ABA_signaling,Curated,16,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Auxin_transporters_ABCB,Auxin_transporters_ABCB,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Auxin_transporters_AUX_LAX,Auxin_transporters_AUX_LAX,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Auxin_transporters_PIN,Auxin_transporters_PIN,Curated,7,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Circadian_core,Circadian_core,User_core,14,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,GA_biosynthesis,GA_biosynthesis,Curated,17,5,0.5786182448859459,0.6330428647163573,0.0824742268041237,0.4,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,GA_core_NMF,GA_core_NMF,User_core,3,3,0.4731533826261764,0.5638610823435286,0.0300687285223367,0.3333333333333333,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,GA_signaling,GA_signaling,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Gravitropism,Gravitropism,Curated,9,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Hormone_transporters_ABCG,Hormone_transporters_ABCG,Curated,5,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Hormone_transporters_NPF,Hormone_transporters_NPF,Curated,6,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Hub_transporter_core,Hub_transporter_core,User_core,5,0,,,,,,,,,
