tissue,stressor,pathway,mean_log2fc,median_log2fc,sign_concordance,n_contrasts,n_pos,n_neg,n_panel_genes,n_measured,label,robust_modest_sign
shoot,NMF,Diterpenoid biosynthesis (GA biosynthesis),0.5639,0.5896,1.0,7.0,7.0,0.0,25.0,6.0,activated,False
shoot,NMF,Fanconi anemia pathway,,,0.0,7.0,0.0,0.0,46.0,0.0,no_coverage,False
shoot,NMF,GA_biosynthesis,0.4593,0.434,1.0,7.0,7.0,0.0,17.0,5.0,activated,False
shoot,NMF,GA_core_NMF,0.3942,0.4732,0.857,7.0,6.0,1.0,3.0,3.0,activated,False
shoot,NMF,GA_signaling,,,0.0,7.0,0.0,0.0,10.0,0.0,no_coverage,False
shoot,NMF,Glucosinolate biosynthesis,,,0.0,7.0,0.0,0.0,26.0,0.0,no_coverage,False
shoot,NMF,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),,,0.0,7.0,0.0,0.0,80.0,1.0,no_coverage,False
shoot,NMF,Gravitropism,,,0.0,7.0,0.0,0.0,9.0,0.0,no_coverage,False
shoot,NMF,Homologous recombination,,,0.0,7.0,0.0,0.0,60.0,0.0,no_coverage,False
shoot,NMF,Hormone_transporters_ABCG,,,0.0,7.0,0.0,0.0,5.0,0.0,no_coverage,False
shoot,NMF,Hormone_transporters_NPF,,,0.0,7.0,0.0,0.0,6.0,0.0,no_coverage,False
shoot,NMF,Hub_transporter_core,,,0.0,7.0,0.0,0.0,5.0,0.0,no_coverage,False
shoot,NMF,Mismatch repair,,,0.0,7.0,0.0,0.0,32.0,0.0,no_coverage,False
shoot,NMF,Non-homologous end-joining,,,0.0,7.0,0.0,0.0,8.0,0.0,no_coverage,False
shoot,NMF,Nucleotide excision repair,,,0.0,7.0,0.0,0.0,85.0,0.0,no_coverage,False
shoot,NMF,Photoreceptors,,,0.0,7.0,0.0,0.0,10.0,0.0,no_coverage,False
shoot,NMF,Photosynthesis,,,0.0,7.0,0.0,0.0,46.0,0.0,no_coverage,False
shoot,NMF,Photosynthesis - antenna proteins,,,0.0,7.0,0.0,0.0,22.0,0.0,no_coverage,False
shoot,NMF,Plant hormone signal transduction,,,0.0,7.0,0.0,0.0,433.0,0.0,no_coverage,False
shoot,NMF,ROS_core_NMF,0.2211,0.2135,1.0,7.0,7.0,0.0,10.0,9.0,modestly_activated,True
shoot,NMF,ROS_scavenging,0.1811,0.1653,1.0,7.0,7.0,0.0,24.0,10.0,modestly_activated,True
shoot,NMF,Sugar_transporters_SWEET,,,0.0,7.0,0.0,0.0,11.0,0.0,no_coverage,False
shoot,µg,ABA_biosynthesis,0.3821,0.3821,0.5,2.0,1.0,1.0,8.0,7.0,n.s.,False
shoot,µg,ABA_signaling,0.3301,0.3301,0.5,2.0,1.0,1.0,16.0,15.0,n.s.,False
shoot,µg,Auxin_transporters_ABCB,0.6272,0.6272,0.5,2.0,1.0,1.0,3.0,3.0,n.s.,False
shoot,µg,Auxin_transporters_AUX_LAX,-0.4756,-0.4756,1.0,2.0,0.0,2.0,3.0,3.0,suppressed,False
shoot,µg,Auxin_transporters_PIN,-1.0265,-1.0265,1.0,2.0,0.0,2.0,7.0,7.0,suppressed,False
shoot,µg,Base excision repair,-0.3214,-0.3214,1.0,2.0,0.0,2.0,50.0,50.0,suppressed,False
shoot,µg,Carbon fixation in photosynthetic organisms,-0.1943,-0.1943,0.5,2.0,1.0,1.0,70.0,70.0,rewired,False
shoot,µg,Circadian rhythm - plant,0.0999,0.0999,0.5,2.0,1.0,1.0,43.0,43.0,rewired,False
shoot,µg,Circadian_core,0.5829,0.5829,1.0,2.0,2.0,0.0,14.0,14.0,activated,False
shoot,µg,Diterpenoid biosynthesis (GA biosynthesis),-1.4273,-1.4273,1.0,2.0,0.0,2.0,25.0,22.0,suppressed,False
shoot,µg,Fanconi anemia pathway,-0.502,-0.502,1.0,2.0,0.0,2.0,46.0,46.0,suppressed,False
shoot,µg,GA_biosynthesis,-1.209,-1.209,1.0,2.0,0.0,2.0,17.0,14.0,suppressed,False
shoot,µg,GA_core_NMF,,,0.0,2.0,0.0,0.0,3.0,2.0,no_coverage,False
shoot,µg,GA_signaling,0.2382,0.2382,0.5,2.0,1.0,1.0,10.0,10.0,rewired,False
shoot,µg,Glucosinolate biosynthesis,-0.4437,-0.4437,0.5,2.0,1.0,1.0,26.0,24.0,n.s.,False
shoot,µg,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),0.0111,0.0111,0.5,2.0,1.0,1.0,80.0,78.0,rewired,False
shoot,µg,Gravitropism,-0.066,-0.066,0.5,2.0,1.0,1.0,9.0,8.0,rewired,False
shoot,µg,Homologous recombination,-0.2719,-0.2719,1.0,2.0,0.0,2.0,60.0,60.0,modestly_suppressed,True
shoot,µg,Hormone_transporters_ABCG,0.3257,0.3257,0.5,2.0,1.0,1.0,5.0,5.0,n.s.,False
shoot,µg,Hormone_transporters_NPF,-0.4901,-0.4901,1.0,2.0,0.0,2.0,6.0,5.0,suppressed,False
shoot,µg,Hub_transporter_core,0.7231,0.7231,1.0,2.0,2.0,0.0,5.0,4.0,activated,False
shoot,µg,Mismatch repair,-0.4345,-0.4345,1.0,2.0,0.0,2.0,32.0,32.0,suppressed,False
shoot,µg,Non-homologous end-joining,-0.053,-0.053,1.0,2.0,0.0,2.0,8.0,8.0,modestly_suppressed,True
shoot,µg,Nucleotide excision repair,-0.0361,-0.0361,0.5,2.0,1.0,1.0,85.0,81.0,rewired,False
shoot,µg,Photoreceptors,0.1205,0.1205,1.0,2.0,2.0,0.0,10.0,10.0,modestly_activated,True
shoot,µg,Photosynthesis,-0.1882,-0.1882,0.5,2.0,1.0,1.0,46.0,45.0,rewired,False
shoot,µg,Photosynthesis - antenna proteins,0.4947,0.4947,0.5,2.0,1.0,1.0,22.0,22.0,n.s.,False
shoot,µg,Plant hormone signal transduction,-0.112,-0.112,0.5,2.0,1.0,1.0,433.0,398.0,rewired,False
shoot,µg,ROS_core_NMF,0.1726,0.1726,0.5,2.0,1.0,1.0,10.0,9.0,rewired,False
shoot,µg,ROS_scavenging,0.3739,0.3739,0.5,2.0,1.0,1.0,24.0,22.0,n.s.,False
