tair_id,symbol_hint,modules,pathway_primary,atlas_celltype_primary,degree,mean_log2fc_OSD_dark,mean_log2fc_OSD_light
AT1G12780,,vascular,non-panel,Liew_xylem,28,0.3680193708566526,0.5718346196284914
AT5G12940,,hypocotyl;QC_rootcap,non-panel,Han:E.hypocotyl_epidermis|Liew_root_cap,28,-0.356752922531582,-0.4292775448799457
AT4G24275,,QC_rootcap,non-panel,Liew_QC,28,-0.0618429986587032,-0.324675111867598
AT1G19450,,hypocotyl,non-panel,Han:Cortex_hypocotyl,28,0.1677167736416813,-0.2573180957524983
AT1G76240,,hypocotyl,non-panel,Han:Cortex_hypocotyl,28,0.3679903671716395,-0.6190709568910621
AT2G15310,,vascular,non-panel,Liew_provasculature,28,-0.0577761073468026,-0.148662493996689
AT3G07010,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis+Cortex_hypocotyl,28,-0.0482649104883142,-0.508782520768115
AT1G69680,,vascular,non-panel,Liew_xylem,28,-0.0030661466022076,0.0338841808717721
AT5G23210,,hypocotyl,non-panel,Han:Cortex_hypocotyl,25,0.219080021112303,-0.1920008363782763
AT1G25450,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,25,-0.0219627580891618,0.0304716002749602
AT2G22080,,vascular,non-panel,Liew_provasculature,25,0.2625829612392599,0.1734089803666726
AT2G16280,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,25,-0.123112353970203,-0.2733726526816309
AT4G33660,,vascular,non-panel,Liew_provasculature,25,-0.0654642750307554,-0.217793820002985
AT4G37450,,vascular,non-panel,Liew_xylem,25,-0.4783913302316934,-0.363755109499626
AT5G66440,,vascular,non-panel,Liew_provasculature,25,-0.0665172085880156,0.0781900956907983
AT5G65280,,vascular,non-panel,Liew_provasculature,25,-0.2103847001957998,0.1060993853850256
AT3G46940,,QC_rootcap,non-panel,Liew_QC,24,-0.315646867856968,-0.9866657265740154
AT4G37400,,QC_rootcap,non-panel,Liew_QC,24,-0.1245423564556176,2.550230953760352
AT2G46140,,QC_rootcap,non-panel,Liew_root_cap,23,-0.1184527695197701,0.0522013852767986
AT4G10380,,QC_rootcap,non-panel,Liew_root_cap,23,-0.0209739042072328,0.3169552398618023
AT2G17500,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,23,0.0091779321206345,0.7932125748103903
AT1G74500,,QC_rootcap,non-panel,Liew_QC,23,-0.4459234389634678,1.9322103716803565
AT3G48340,,QC_rootcap,non-panel,Liew_root_cap,23,-1.2638838101090164,1.5992888922327235
AT3G06035,,vascular,non-panel,Liew_xylem,23,-0.4860900948209846,-0.0596573613237457
AT5G45920,,QC_rootcap,non-panel,Liew_QC,23,-0.4245675763000256,0.1578349069893893
AT1G35720,,QC_rootcap,non-panel,Liew_root_cap,23,0.22002457102066,0.488304084893731
AT5G26330,,vascular,non-panel,Liew_xylem,23,-0.7547147237108707,-1.2824083255134264
AT5G04470,,hypocotyl,non-panel,Han:Cortex_hypocotyl,23,0.0748742654352419,0.2073271771881133
AT4G37010,,hypocotyl,non-panel,Han:Cortex_hypocotyl,23,-0.0366823863891547,0.7471947005223392
AT3G05920,,hypocotyl,non-panel,Han:Cortex_hypocotyl,22,-0.1617999304538373,3.130045163281093
AT5G15265,,QC_rootcap,non-panel,Liew_root_cap,22,-0.0882037757235994,0.1626464418200364
AT5G15230,,QC_rootcap,non-panel,Liew_root_cap,22,-0.1805130943783769,0.2659896818361095
AT5G10770,,hypocotyl,non-panel,Han:Cortex_hypocotyl,22,-0.3887405749156076,-0.2577121661960672
AT4G22235,,QC_rootcap,non-panel,Liew_root_cap,22,-0.2373590533194791,2.517352854981467
AT4G12520,,hypocotyl,non-panel,Han:Cortex_hypocotyl,22,-0.2037956290140183,0.9620377160747844
AT4G31320,,QC_rootcap,Plant hormone signal transduction,Liew_root_cap,22,-0.4249522293743626,1.2502612170995115
AT1G78370,,vascular,non-panel,Liew_provasculature,22,-0.5465512602695126,-1.4120837539603508
AT1G23040,,vascular,non-panel,Liew_provasculature,22,-0.3607098649732943,0.5193482740094503
AT3G53480,,hypocotyl;QC_rootcap,non-panel,Han:E.hypocotyl_epidermis|Liew_root_cap,21,-0.353121805316973,1.136957891580914
AT2G43535,,QC_rootcap,non-panel,Liew_root_cap,21,-0.2059699143566506,0.618685205511227
AT2G31980,,vascular,non-panel,Liew_xylem,21,-0.7982236900416569,1.2056706269639212
AT1G76930,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,21,-0.0544188027189616,1.339088148275885
AT2G17710,,vascular,non-panel,Liew_xylem,21,-0.0431804739893433,0.7707649073471453
AT1G66280,,hypocotyl;QC_rootcap,non-panel,Han:E.hypocotyl_epidermis|Liew_root_cap,21,-0.5324997503426271,1.6095257653395407
AT1G17745,,vascular,non-panel,Liew_provasculature,21,-0.3909706849329957,0.732021124443378
AT5G56500,,QC_rootcap,non-panel,Liew_QC,21,-0.1862664339569701,0.1156061606062578
AT1G21100,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,21,-0.358760683328109,0.4594155013411916
AT4G37070,,hypocotyl,non-panel,Han:Cortex_hypocotyl,21,-0.2248338609708263,1.232989423029827
AT1G07640,,vascular,non-panel,Liew_provasculature,20,-0.2686452057713739,0.0400530514435772
AT1G09200,,QC_rootcap,non-panel,Liew_QC,20,-0.2219192735815123,-0.6620962004000687
AT4G16380,,vascular,non-panel,Liew_xylem,20,0.0743851780677919,-0.1779018419093446
AT5G03230,,hypocotyl,non-panel,Han:Cortex_hypocotyl,20,0.3456798340075111,1.0618133775554257
AT1G10670,,vascular,non-panel,Liew_xylem,20,0.0225231180150664,-0.242011036781234
AT5G15630,,vascular,non-panel,Liew_xylem,20,-0.5031001340581133,-1.054384147876271
AT1G08500,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,20,0.0739948970455531,0.5739929217380556
AT1G05850,,vascular,non-panel,Liew_xylem,20,-0.0010018676833158,-0.256951351250523
AT3G05490,,vascular,non-panel,Liew_provasculature,20,-0.0021999222844762,-0.340047438861637
AT3G05910,,vascular,non-panel,Liew_xylem,20,-0.1918199326568676,-0.537119504270655
AT3G32980,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,20,-0.4181930879625216,0.6934942852742417
AT3G27360,,QC_rootcap,non-panel,Liew_QC,20,-0.094586412486287,-0.3955297267511087
AT1G68810,,vascular,non-panel,Liew_xylem,20,-0.0525207953931357,-0.4422463535063663
AT1G54575,,vascular,non-panel,Liew_provasculature,20,0.088578832337554,1.6773055482208357
AT2G34500,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,20,0.1628998752812032,1.667339250619711
AT1G27670,,hypocotyl,non-panel,Han:Cortex_hypocotyl,20,0.1544788826314233,0.7286447104280459
AT3G29035,,hypocotyl,non-panel,Han:Cortex_hypocotyl,20,0.2836286046635131,1.126040950303134
AT5G26280,,QC_rootcap,non-panel,Liew_root_cap,19,-0.0063007272416218,-0.1625324770504173
AT2G36355,,vascular,non-panel,Liew_xylem,19,-0.1669518642121946,-0.3005334343185394
AT4G12470,,hypocotyl,non-panel,Han:Cortex_hypocotyl,19,-0.5412121962718843,-0.8274395630958143
AT2G28760,,vascular,non-panel,Liew_xylem,19,-0.1104507354131054,-0.7603720721773399
AT1G17360,,vascular,non-panel,Liew_xylem,18,-0.2376096154316853,-0.3505332677806255
AT5G13370,,other,Plant hormone signal transduction,panel_only,18,0.3131443077734903,1.0828936681548902
AT4G18360,,other,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),panel_only,18,-0.3328928464824643,0.52385877134997
AT4G25780,,hypocotyl,non-panel,Han:Cortex_hypocotyl,18,-0.4508670546648632,0.0444005570818368
AT4G12910,,vascular,non-panel,Liew_xylem,18,-0.7530950642759014,-0.8183298406080807
AT4G33010,,other,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),panel_only,18,-0.0808848252270393,-1.2684274968189049
AT1G79620,,vascular,non-panel,Liew_xylem,18,-0.5344782076529015,-0.9623172644681852
AT2G33990,,hypocotyl,non-panel,Han:Cortex_hypocotyl,18,0.1971660769177153,0.0874335419814161
AT2G38120,AUX1,vascular,Auxin_transporters_AUX_LAX,Liew_xylem,18,-0.0823035825757131,-0.4065640860834056
AT2G38640,,vascular,non-panel,Liew_provasculature,18,-0.1825766382154401,0.1472293748264002
AT2G36270,ABI5,other,Hub_transporter_core,panel_only,18,0.7769396751312542,1.48924818909847
AT1G74940,,hypocotyl,non-panel,Han:Cortex_hypocotyl,18,0.0642225457010113,-0.0762875151884999
AT1G64060,RBOHF,ROS,ROS_scavenging,panel_only,18,0.0351026357551259,0.329064303855459
AT5G66190,,other,Photosynthesis,panel_only,18,-0.1355194570782816,-1.101587248225066
AT1G20450,,QC_rootcap,non-panel,Liew_QC,18,0.7108889432219788,0.7458599142018323
AT5G47435,,other,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),panel_only,18,-0.0365526577961429,-0.2304618629297443
AT5G59890,,vascular,non-panel,Liew_provasculature,18,0.0241680525024426,-0.0536457522853458
AT5G39340,,vascular,Plant hormone signal transduction,Liew_provasculature,18,0.10598782883149,0.0794089000814711
AT5G53190,SWEET3,other,Sugar_transporters_SWEET,panel_only,18,0.5673383281622905,2.3680660059610363
AT1G48360,,other,Fanconi anemia pathway,panel_only,18,0.044820073337372,-0.328282208611091
AT2G46370,,other,Plant hormone signal transduction,panel_only,18,0.0263223483349765,0.099547979142507
AT3G54660,GR2,ROS,ROS_scavenging,panel_only,18,-0.1252026730085769,-0.4533706691113539
AT3G23240,,other,Plant hormone signal transduction,panel_only,18,0.523861198353671,1.2049751652702754
AT3G14130,,other,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),panel_only,18,-0.0539604760563042,0.4084307756878413
AT2G44900,SLY1,GA,GA_signaling,panel_only,17,0.2322311543940946,0.3310432114008785
AT2G44350,,other,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),panel_only,17,-0.0686333467154166,-0.0900360686015733
AT3G55050,HAB1,ABA,ABA_signaling,panel_only,17,0.1135806681643125,-0.0720316062376776
