tair_id,symbol_hint,is_panel,is_hub_han,is_hub_liew,atlas_celltype_primary,pathway_primary,mean_log2fc_OSD_dark,mean_log2fc_OSD_light,degree,weighted_degree,betweenness
AT1G09560,,False,False,True,Liew_root_cap,non-panel,0.06974660129431043,-0.13179542704102304,3,3.0,7.541751134279371e-07
AT5G45010,,True,False,False,panel_only,Homologous recombination,-0.17949291949482235,-0.31660219307551607,3,3.0,0.0
AT4G34750,,True,False,False,panel_only,Plant hormone signal transduction,-0.2534333427675673,-0.1799261600529437,3,3.0,0.0
AT3G56850,,True,False,False,panel_only,Plant hormone signal transduction,0.0739066057971809,0.21940902793317982,3,3.0,0.0
AT3G57080,,True,False,False,panel_only,Nucleotide excision repair,0.2487031056629482,-0.08407820164464831,3,3.0,0.0
AT3G57550,,False,False,True,Liew_root_cap,non-panel,0.0711904044087625,0.24615343497072464,3,3.0,7.541751134279371e-07
AT3G58720,,False,False,True,Liew_provasculature,non-panel,-0.07263346626304888,-0.41367555718303245,3,3.0,0.0
AT3G59600,,True,False,False,panel_only,Nucleotide excision repair,0.20357497659049828,-0.08540451312686637,3,3.0,0.0
AT3G59010,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-1.1749313837283297,-0.5493468163216163,3,3.0,4.525050680567622e-06
AT3G47950,,True,False,False,panel_only,Plant hormone signal transduction,-0.2656542250863037,0.1652431849045706,3,3.0,0.0
AT2G20610,,True,False,False,panel_only,Glucosinolate biosynthesis,-0.22097671419557666,-0.55366327389603,3,3.0,0.0
AT2G46970,,True,False,False,panel_only,Plant hormone signal transduction,-0.49042515463873276,1.1727768917687589,3,3.0,0.0
AT3G62100,,True,False,True,Liew_xylem,Plant hormone signal transduction,-0.08673418596770795,0.16631700916181136,3,3.0,0.0
AT3G04580,,True,False,False,panel_only,Plant hormone signal transduction,-0.012147477075062307,0.0068704798220558345,3,3.0,0.0
AT4G00050,,True,False,False,panel_only,Plant hormone signal transduction,0.12937350150768767,-1.4551583903612464,3,3.0,0.0
AT1G36370,,True,False,False,panel_only,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),-0.14115945164330324,-0.014260521391178763,3,3.0,0.0
AT2G46690,,True,False,False,panel_only,Plant hormone signal transduction,0.4105162062054692,0.08869238179385668,3,3.0,0.0
AT2G46600,,False,False,True,Liew_provasculature,non-panel,0.7901005315132185,0.2066626965865838,3,3.0,0.0
AT5G57785,,False,True,False,Han:Cortex_hypocotyl,non-panel,1.1254612064556564,-0.1638949104029372,3,3.0,4.525050680567622e-06
AT5G45110,,True,False,False,panel_only,Plant hormone signal transduction,0.5376180092576693,0.2263127002746427,3,3.0,0.0
AT5G47220,,True,False,False,panel_only,Plant hormone signal transduction,0.9772195249822996,0.9001674273037613,3,3.0,0.0
AT4G18590,,True,False,False,panel_only,Mismatch repair,-0.027708453824101097,0.028569217663818074,3,3.0,0.0
AT1G18090,,True,False,False,panel_only,Mismatch repair,-0.5627847690922264,-0.5817609440584016,3,3.0,0.0
AT1G14920,GAI,True,False,False,panel_only,GA_signaling,-0.12229129646750066,-0.12054503503701602,3,3.0,0.0
AT1G19050,,True,False,False,panel_only,Plant hormone signal transduction,-0.46003651221963265,-0.6756423993682185,3,3.0,0.0
AT2G27030,,True,False,False,panel_only,Plant hormone signal transduction,0.005087648282159528,-0.3046833956917993,3,3.0,0.0
AT2G23170,,True,False,False,panel_only,Plant hormone signal transduction,-1.3057381725043873,-0.34318471151542235,3,3.0,0.0
AT5G23020,,True,False,False,panel_only,Glucosinolate biosynthesis,-0.7557509009529029,0.5571349758568213,3,3.0,0.0
AT1G23160,,True,False,False,panel_only,Plant hormone signal transduction,-3.5823171744035207,-1.1744818918634625,3,3.0,0.0
AT4G13930,,True,False,False,panel_only,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),-0.3643689702341753,-0.25488894544761304,3,3.0,0.0
AT1G17260,,True,False,False,panel_only,Plant hormone signal transduction,0.693541451611143,0.7287704596742889,3,3.0,0.0
AT1G60930,,True,False,False,panel_only,Fanconi anemia pathway,-0.034431731775735566,0.17466504433274846,3,3.0,0.0
AT5G14510,,False,False,True,Liew_xylem,non-panel,-0.2575022680130976,-0.33665652380182215,3,3.0,7.541751134279371e-07
AT2G22860,,True,False,True,Liew_root_cap,Plant hormone signal transduction,0.4084324314451308,1.4618317841484865,3,3.0,4.525050680567622e-06
AT4G12880,,False,False,True,Liew_root_cap,non-panel,-0.12809619311437467,-0.17283697626844186,3,3.0,4.525050680567622e-06
