tair_id,gene_name,tissue,time,ratio,log2_ratio
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,shoot,48h,1.02,0.0286
AT5G07990,CYP75B1 Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio,shoot,96h,0.91,-0.1361
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",root,4h,1.03,0.0426
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",root,24h,1.1,0.1375
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",root,48h,1.02,0.0286
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",root,96h,0.98,-0.0291
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",shoot,4h,0.87,-0.2009
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",shoot,24h,0.81,-0.304
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",shoot,48h,1.02,0.0286
AT5G63595,"ATFLS4, FLAVONOL SYNTHASE 4, FLS4",shoot,96h,1.21,0.275
AT5G54160, O-methyltransferase (OMT1) ,root,4h,1.0,0.0
AT5G54160, O-methyltransferase (OMT1) ,root,24h,0.95,-0.074
AT5G54160, O-methyltransferase (OMT1) ,root,48h,1.01,0.0144
AT5G54160, O-methyltransferase (OMT1) ,root,96h,1.08,0.111
AT5G54160, O-methyltransferase (OMT1) ,shoot,4h,1.03,0.0426
AT5G54160, O-methyltransferase (OMT1) ,shoot,24h,0.95,-0.074
AT5G54160, O-methyltransferase (OMT1) ,shoot,48h,1.04,0.0566
AT5G54160, O-methyltransferase (OMT1) ,shoot,96h,1.11,0.1506
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,root,4h,0.91,-0.1361
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,root,24h,1.03,0.0426
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,root,48h,0.98,-0.0291
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,root,96h,0.98,-0.0291
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,shoot,4h,0.89,-0.1681
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,shoot,24h,0.98,-0.0291
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,shoot,48h,1.05,0.0704
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase,shoot,96h,1.03,0.0426
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,4h,1.11,0.1506
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,24h,1.15,0.2016
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,48h,1.12,0.1635
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,96h,1.22,0.2869
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,4h,1.14,0.189
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,24h,1.09,0.1243
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,48h,1.06,0.0841
AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,96h,1.1,0.1375
AT4G13660,pinoresinol reductase 2,root,4h,0.98,-0.0291
AT4G13660,pinoresinol reductase 2,root,24h,1.03,0.0426
AT4G13660,pinoresinol reductase 2,root,48h,0.97,-0.0439
AT4G13660,pinoresinol reductase 2,root,96h,0.91,-0.1361
AT4G13660,pinoresinol reductase 2,shoot,4h,0.99,-0.0145
AT4G13660,pinoresinol reductase 2,shoot,24h,0.89,-0.1681
AT4G13660,pinoresinol reductase 2,shoot,48h,1.08,0.111
AT4G13660,pinoresinol reductase 2,shoot,96h,0.77,-0.3771
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",root,4h,1.0,0.0
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",root,24h,0.89,-0.1681
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",root,48h,1.04,0.0566
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",root,96h,1.13,0.1763
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",shoot,4h,1.08,0.111
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",shoot,24h,0.99,-0.0145
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",shoot,48h,1.12,0.1635
AT3G55120,"CFI, CHALCONE FLAVANONE ISOMERASE, CHALCONE ISOMERASE, CHI, TRANSPARENT TESTA 5, TT5",shoot,96h,0.98,-0.0291
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",root,4h,1.44,0.5261
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",root,24h,1.14,0.189
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",root,48h,1.06,0.0841
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",root,96h,1.03,0.0426
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",shoot,4h,0.96,-0.0589
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",shoot,24h,1.34,0.4222
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",shoot,48h,1.12,0.1635
AT4G34850,"chalcone and stilbene synthase family protein LAP5, LESS ADHESIVE POLLEN 5, PKSB, POLYKETIDE SYNTHASE B",shoot,96h,1.19,0.251
